nbImages,nbIndiv,sumIndiv,sumImages
1,8,8,8
2,14,22,36
3,12,34,72
4,16,50,136
5,7,57,171
6,11,68,237
7,8,76,293
8,12,88,389
9,11,99,488
10,10,109,588
11,7,116,665
12,9,125,773
13,6,131,851
14,4,135,907
15,6,141,997
16,5,146,1077
17,8,154,1213
18,7,161,1339
19,5,166,1434
20,3,169,1494
21,6,175,1620
22,4,179,1708
23,4,183,1800
24,2,185,1848
25,7,192,2023
26,4,196,2127
27,4,200,2235
28,4,204,2347
29,2,206,2405
30,7,213,2615
31,2,215,2677
32,7,222,2901
33,3,225,3000
34,5,230,3170
35,2,232,3240
36,3,235,3348
37,2,237,3422
38,3,240,3536
39,2,242,3614
40,3,245,3734
41,1,246,3775
42,2,248,3859
44,1,249,3903
45,2,251,3993
46,2,253,4085
48,2,255,4181
50,3,258,4331
51,4,262,4535
53,2,264,4641
54,1,265,4695
55,3,268,4860
57,3,271,5031
58,4,275,5263
59,2,277,5381
61,2,279,5503
62,1,280,5565
63,1,281,5628
64,1,282,5692
65,1,283,5757
66,1,284,5823
68,2,286,5959
73,2,288,6105
75,5,293,6480
78,1,294,6558
79,2,296,6716
80,1,297,6796
83,1,298,6879
84,1,299,6963
85,1,300,7048
86,1,301,7134
87,1,302,7221
90,1,303,7311
96,1,304,7407
100,2,306,7607
107,1,307,7714
109,1,308,7823
114,1,309,7937
117,1,310,8054
121,1,311,8175
130,1,312,8305
142,1,313,8447
144,1,314,8591
149,1,315,8740
151,2,317,9042
160,1,318,9202
161,1,319,9363
162,1,320,9525
167,1,321,9692
171,2,323,10034
177,1,324,10211
179,1,325,10390
200,1,326,10590
202,1,327,10792
207,1,328,10999
213,1,329,11212
214,1,330,11426
215,2,332,11856
218,1,333,12074
219,1,334,12293
221,1,335,12514
239,1,336,12753
256,1,337,13009
257,1,338,13266
268,1,339,13534
317,1,340,13851
374,1,341,14225
413,1,342,14638
